Link,heat,rank,lane,last_name,first_name,reaction_time,split_50m,split_100m,split_150m,split_200m,split_250m,split_300m,split_350m,final_time
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final B,6,8,HITCHCOCK,Brent,0.71,27.38,56.52,1:26.50,1:56.70,2:26.75,2:56.95,3:26.85,3:55.25
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final B,7,6,ROBERTSON,Jim,0.79,27.26,56.81,1:26.32,1:55.82,2:25.84,2:56.20,3:26.87,3:56.06
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final B,8,2,BARBER,Matthew,0.72,26.97,56.14,1:26.11,1:56.21,2:26.66,2:57.55,3:28.55,3:59.50
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,1,6,GEMMELL,Andrew,0.57,27.58,56.77,1:26.53,1:56.21,2:25.86,2:55.63,3:24.74,3:53.05
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,2,5,DEJONG,Adam,0.77,27.08,56.67,1:26.89,1:57.01,2:26.72,2:56.49,3:26.14,3:55.75
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,3,4,PETERSON,Charles,0.88,27.6,57.72,1:27.66,1:57.83,2:27.54,2:57.57,3:26.80,3:56.12
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,4,7,FRAYLER,Arthur,0.79,27.96,57.35,1:27.37,1:57.12,2:27.01,2:57.21,3:27.20,3:56.40
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,5,3,FLACH,Michael,0.54,27.55,58.00,1:28.35,1:59.35,2:29.03,2:58.67,3:28.18,3:57.17
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,6,1,MCBROOM,Michael,0.79,27.51,57.35,1:27.64,1:57.95,2:28.12,2:58.56,3:28.87,3:57.42
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,7,2,HILL,Steven,0.82,26.72,56.58,1:26.53,1:57.24,2:27.59,2:58.59,3:28.98,3:58.71
https://www.omegatiming.com/File/00010A110009000000FFFFFFFFFFFF01.pdf,Final C,8,8,SMIT,Michael,0.79,27.38,57.56,1:27.86,1:58.26,2:28.67,2:59.30,3:29.98,4:00.16
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,1,4,CALDWELL,Nicholas,0.71,27.67,57.43,1:27.00,1:56.41,2:25.79,2:55.08,3:24.37,3:52.88
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,2,5,FEELEY,Ryan,0.73,27.43,57.42,1:27.45,1:57.69,2:26.92,2:56.57,3:26.00,3:54.85
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,3,3,DANIEC,Jan,0.76,27.65,57.54,1:27.28,1:57.12,2:26.41,2:56.60,3:26.36,3:55.61
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,4,7,SIGNORIN,Connor,0.72,27.53,57.32,1:27.55,1:57.66,2:27.59,2:57.38,3:27.11,3:55.84
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,5,1,GROOME,Eegan,0.69,27.19,56.09,1:25.72,1:55.50,2:25.92,2:56.28,3:26.83,3:56.13
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,6,6,HINSHAW,Adam,0.72,27.79,57.66,1:27.96,1:58.45,2:28.42,2:58.80,3:29.22,3:57.79
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,7,2,YOUNGQUIST,Clay,0.71,27.56,57.54,1:27.68,1:58.02,2:28.28,2:58.95,3:29.15,3:58.04
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final A,8,8,THOMSON,Daniel,0.77,27.58,57.60,1:27.99,1:59.03,2:29.06,2:59.17,3:29.45,3:58.98
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,1,8,KOSKI,Matias,0.69,27.01,56.88,1:27.12,1:57.14,2:27.32,2:57.48,3:27.75,3:56.94
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,2,6,JACOBSEN,Brennan,0.74,27.84,57.50,1:27.74,1:58.12,2:28.44,2:58.77,3:29.32,3:58.28
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,3,2,OMANA,Carlos,0.72,26.87,56.28,1:26.28,1:56.78,2:27.27,2:58.19,3:29.22,3:58.65
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,4,7,SNYDER,Reed,0.8,27.98,58.48,1:28.87,1:59.58,2:29.81,2:59.93,3:29.94,3:58.75
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,5,1,BELECANECH,Matthew,0.69,27.38,57.77,1:28.10,1:59.11,2:29.45,2:59.69,3:29.76,3:58.87
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,6,4,ALEXIOU,Nicholas,0.78,27.29,56.82,1:27.42,1:58.00,2:28.62,2:59.50,3:29.77,3:58.94
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,7,5,SILVERTHORN,Nicholas,0.74,27.92,58.54,1:29.10,2:00.55,2:31.16,3:02.35,3:32.72,4:02.30
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final B,8,3,BRAVENCE,Benjamin,0.72,27.74,57.62,1:28.09,1:59.02,2:30.12,3:01.82,3:33.67,4:05.00
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,1,4,YILDIRIMER,Ediz,0.74,27.5,57.56,1:28.03,1:58.56,2:29.03,2:59.84,3:30.66,3:59.59
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,2,6,FOWLER,Tyler,0.69,27.93,57.50,1:28.05,1:58.46,2:29.35,3:00.17,3:30.88,4:00.25
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,3,5,LYON,Jameson,0.69,27.49,56.80,1:26.83,1:57.34,2:28.38,2:59.82,3:30.65,4:00.50
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,4,8,MITA,Riley,0.6,27.96,57.98,1:28.43,1:59.26,2:29.98,3:00.88,3:31.35,4:00.95
