year,competition,mens_400_free_pdf,womens_400_free_pdf
2012,FINA/ARENA SWIMMING WORLD CUP 2012,https://www.omegatiming.com/File/00010C010800000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010C010801001702FFFFFFFFFFFF02.pdf
2012,FINA/ARENA SWIMMING WORLD CUP 2012,https://www.omegatiming.com/File/00010C010900000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010C010901001702FFFFFFFFFFFF02.pdf
2012,FINA/ARENA SWIMMING WORLD CUP 2012,https://www.omegatiming.com/File/00010C010A00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010C010A01001702FFFFFFFFFFFF02.pdf
2013,2013 PHILLIPS 66 NATIONAL CHAMPIONSHIPS & WORLD CHAMPIONSHIP TRIALS,https://www.omegatiming.com/File/00010D020000000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020001001702FFFFFFFFFFFF02.pdf
2013,2013 U.S. OPEN SWIMMING CHAMPIONSHIPS,https://www.omegatiming.com/File/00010D020200000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020201001702FFFFFFFFFFFF02.pdf
2013,SPEEDO JUNIOR NATIONAL SWIMMING CHAMPIONSHIPS,https://www.omegatiming.com/File/00010D020300000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020301001702FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 EINDHOVEN 1/8,https://www.omegatiming.com/File/00010D020500000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020501001702FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 BERLIN 2/8,https://www.omegatiming.com/File/00010D020600000300FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020601001700FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 MOSCOW 3/8,https://www.omegatiming.com/File/00010D020700000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020701001702FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 DUBAI 4/8,https://www.omegatiming.com/File/00010D020800000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020801001702FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 DOHA 5/8,https://www.omegatiming.com/File/00010D020900000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020901001702FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 SINGAPORE 6/8,https://www.omegatiming.com/File/00010D020A00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020A01001702FFFFFFFFFFFF02.pdf
